航线,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,"2024年深航共拥有波音737系列,空客A319,A320,A330系列各类型客机超200架",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
国内出发,,,国际出发,,,空客系列,公务舱,舒适经济舱,经济舱,座位总数,平均机龄,图片
始发地,目的地,航距（公里）,始发地,目的地,航距（公里）,机型：A330,18座,24座,267座,309座,5年,"=DISPIMG(""ID_88343D7CFFDE4F66B67FA783CC009CE4"",1)"
昆明,泉州,1595,,,,,,,,,,
昆明,南昌,1457,,,,,,,,,,
昆明,深圳,1245,,,,,,,,,,
昆明,运城,1365,,,,,,,,,,
兰州,深圳,2185,,,,,,,,,,
兰州,宜昌,1212,,,,,,,,,,
丽江,合肥,2114,,,,,,,,,,
丽江,南京,2200,,,,,,,,,,
丽江,深圳,1605,,,,,,,,,,
丽江,成都天府,734,,,,,,,,,,
临沂,广州,1498,,,,,,,,,,
临沂,长春,1350,,,,,,,,,,
临沂,哈尔滨,1440,,,,,,,,,,
临沂,南昌,920,,,,,,,,,,
临沂,宁波,711,,,,,,,,,,
临沂,沈阳,918,,,,,,,,,,
临沂,深圳,1756,,,,,,,,,,
临沂,温州,987,,,,,,,,,,
临沂,西安,1110,,,,,,,,,,
绵阳,合肥,1470,,,,,,,,,,
绵阳,深圳,1610,,,,,,,,,,
绵阳,温州,1826,,,,,,,,,,
南京,广州,1255,,,,,,,,,,
南京,长春,1533,,,,,,,,,,
南京,重庆,1305,,,,,,,,,,
南京,哈尔滨,1756,,,,,,,,,,
南京,惠州,1329,,,,,,,,,,
南京,银川,1664,,,,,,,,,,
南京,泉州,863,,,,,,,,,,
南京,丽江,2200,,,,,,,,,,
南京,中国澳门,1200,,,,,,,,,,
南京,南宁,1574,,,,,,,,,,
南京,沈阳,1630,,,,,,,,,,
南京,深圳,1526,,,,,,,,,,
南京,成都天府,1618,,,,,,,,,,
南京,太原,974,,,,,,,,,,
南京,运城,980,,,,,,,,,,
南京,宜春,754,,,,,,,,,,
南京,烟台,752,,,,,,,,,,
南京,珠海,1544,,,,,,,,,,
南宁,郑州,1557,,,,,,,,,,
南宁,重庆,858,,,,,,,,,,
南宁,常州,1600,,,,,,,,,,
南宁,福州,1455,,,,,,,,,,
南宁,合肥,1411,,,,,,,,,,
南宁,惠州,740,,,,,,,,,,
南宁,泉州,1292,,,,,,,,,,
南宁,南昌,1128,,,,,,,,,,
南宁,南京,1574,,,,,,,,,,
南宁,南通,1888,,,,,,,,,,
南宁,北京首都,2250,,,,,,,,,,
南宁,深圳,651,,,,,,,,,,
南宁,成都天府,1014,,,,,,,,,,
南宁,温州,1663,,,,,,,,,,
南宁,武汉,1099,,,,,,,,,,
南宁,无锡,1780,,,,,,,,,,
南宁,西安,1832,,,,,,,,,,
南宁,厦门,1105,,,,,,,,,,
南宁,运城,1587,,,,,,,,,,
南通,广州,1363,,,,,,,,,,
南通,重庆,1450,,,,,,,,,,
南通,大连,972,,,,,,,,,,
南通,中国香港,2966,,,,,,,,,,
南通,哈尔滨,1877,,,,,,,,,,
南通,泉州,906,,,,,,,,,,
南通,贵阳,1745,,,,,,,,,,
南通,南宁,1888,,,,,,,,,,
南通,北京首都,1080,,,,,,,,,,
南通,沈阳,1408,,,,,,,,,,
南通,三亚,2069,,,,,,,,,,
南通,深圳,1478,,,,,,,,,,
南通,成都天府,1870,,,,,,,,,,
南通,天津,1031,,,,,,,,,,
南通,太原,1238,,,,,,,,,,
南通,西安,1254,,,,,,,,,,
南通,厦门,980,,,,,,,,,,
南通,珠海,1522,,,,,,,,,,
宁波,临沂,711,,,,,,,,,,
宁波,深圳,1237,,,,,,,,,,
宁波,运城,1411,,,,,,,,,,
南昌,长春,2077,,,,,,,,,,
南昌,重庆,970,,,,,,,,,,
南昌,大连,1437,,,,,,,,,,
南昌,海口,1204,,,,,,,,,,
南昌,哈尔滨,2264,,,,,,,,,,
南昌,银川,1471,,,,,,,,,,
南昌,昆明,1457,,,,,,,,,,
南昌,临沂,920,,,,,,,,,,
南昌,南宁,1128,,,,,,,,,,
南昌,沈阳,1922,,,,,,,,,,
南昌,石家庄,1145,,,,,,,,,,
南昌,深圳,753,,,,,,,,,,
南昌,青岛,1319,,,,,,,,,,
南昌,成都天府,1240,,,,,,,,,,
南昌,天津,1370,,,,,,,,,,
南昌,太原,1090,,,,,,,,,,
南昌,宜宾,1340,,,,,,,,,,
南昌,运城,917,,,,,,,,,,
青岛,广州,1867,,,,,,,,,,
青岛,南昌,1319,,,,,,,,,,
青岛,深圳,2049,,,,,,,,,,
泉州,广州,667,,,,,,,,,,
泉州,郑州,1320,,,,,,,,,,
泉州,常州,955,,,,,,,,,,
泉州,合肥,975,,,,,,,,,,
泉州,中国香港,552,,,,,,,,,,
泉州,舟山,813,,,,,,,,,,
泉州,昆明,1595,,,,,,,,,,
泉州,南京,863,,,,,,,,,,
泉州,南宁,1292,,,,,,,,,,
泉州,南通,906,,,,,,,,,,
泉州,北京首都,1732,,,,,,,,,,
泉州,沈阳,2225,,,,,,,,,,
泉州,深圳,649,,,,,,,,,,
泉州,成都天府,1770,,,,,,,,,,
泉州,武汉,860,,,,,,,,,,
泉州,无锡,990,,,,,,,,,,
泉州,西安,1678,,,,,,,,,,
泉州,宜宾,1675,,,,,,,,,,
泉州,宜昌,1104,,,,,,,,,,
泉州,湛江,1013,,,,,,,,,,
深圳,曼谷,1702,,,,,,,,,,
深圳,巴中,1890,,,,,,,,,,
深圳,郑州,1465,,,,,,,,,,
深圳,长春,2983,,,,,,,,,,
深圳,重庆,1290,,,,,,,,,,
深圳,成都双流,1446,,,,,,,,,,
深圳,常州,1520,,,,,,,,,,
深圳,海口,603,,,,,,,,,,
深圳,河内,849,,,,,,,,,,
深圳,合肥,1191,,,,,,,,,,
深圳,杭州,1179,,,,,,,,,,
深圳,普吉岛,2314,,,,,,,,,,
深圳,哈尔滨,3034,,,,,,,,,,
深圳,台州,1070,,,,,,,,,,
深圳,首尔,2061,,,,,,,,,,
深圳,银川,2176,,,,,,,,,,
深圳,景德镇,854,,,,,,,,,,
深圳,泉州,649,,,,,,,,,,
深圳,池州,1071,,,,,,,,,,
深圳,南昌,753,,,,,,,,,,
深圳,昆明,1245,,,,,,,,,,
深圳,吉隆坡,2568,,,,,,,,,,
深圳,伦敦,9585,,,,,,,,,,
深圳,兰州,2185,,,,,,,,,,
深圳,丽江,1605,,,,,,,,,,
深圳,临沂,1756,,,,,,,,,,
深圳,绵阳,1610,,,,,,,,,,
深圳,宁波,1237,,,,,,,,,,
深圳,南京,1526,,,,,,,,,,
深圳,南宁,651,,,,,,,,,,
深圳,东京成田,2917,,,,,,,,,,
深圳,南通,1478,,,,,,,,,,
深圳,北京首都,2077,,,,,,,,,,
深圳,上海浦东,1343,,,,,,,,,,
深圳,胡志明市,1517,,,,,,,,,,
深圳,上海虹桥,1343,,,,,,,,,,
深圳,沈阳,2671,,,,,,,,,,
深圳,新加坡,2589,,,,,,,,,,
深圳,石家庄,1773,,,,,,,,,,
深圳,三亚,837,,,,,,,,,,
深圳,青岛,2049,,,,,,,,,,
深圳,成都天府,1446,,,,,,,,,,
深圳,济南,1828,,,,,,,,,,
深圳,中国台北,811,,,,,,,,,,
深圳,天津,2021,,,,,,,,,,
深圳,太原,1796,,,,,,,,,,
深圳,乌鲁木齐,3900,,,,,,,,,,
深圳,芜湖,1282,,,,,,,,,,
深圳,温州,1009,,,,,,,,,,
深圳,武汉,938,,,,,,,,,,
深圳,无锡,1368,,,,,,,,,,
深圳,襄阳,1237,,,,,,,,,,
深圳,西安,1635,,,,,,,,,,
深圳,西宁,2390,,,,,,,,,,
深圳,宜宾,1285,,,,,,,,,,
深圳,运城,1454,,,,,,,,,,
深圳,宜春,771,,,,,,,,,,
深圳,宜昌,1032,,,,,,,,,,
深圳,烟台,2191,,,,,,,,,,
深圳,扬州泰州,1546,,,,,,,,,,
上海虹桥,景德镇,589,,,,,,,,,,
上海虹桥,深圳,1343,,,,,,,,,,
上海浦东,广州,1308,,,,,,,,,,
上海浦东,深圳,1343,,,,,,,,,,
沈阳,广州,2672,,,,,,,,,,
沈阳,郑州,1339,,,,,,,,,,
沈阳,常州,1326,,,,,,,,,,
沈阳,呼和浩特,1051,,,,,,,,,,
沈阳,合肥,1608,,,,,,,,,,
沈阳,泉州,2225,,,,,,,,,,
沈阳,南昌,1922,,,,,,,,,,
沈阳,临沂,918,,,,,,,,,,
沈阳,南京,1630,,,,,,,,,,
沈阳,南通,1408,,,,,,,,,,
沈阳,深圳,2671,,,,,,,,,,
沈阳,太原,1171,,,,,,,,,,
沈阳,温州,1753,,,,,,,,,,
沈阳,武汉,1859,,,,,,,,,,
沈阳,无锡,1350,,,,,,,,,,
沈阳,襄阳,1704,,,,,,,,,,
沈阳,西安,1683,,,,,,,,,,
沈阳,烟台,593,,,,,,,,,,
沈阳,扬州泰州,1620,,,,,,,,,,
三亚,南通,2069,,,,,,,,,,
三亚,深圳,837,,,,,,,,,,
三亚,温州,1802,,,,,,,,,,
三亚,运城,2341,,,,,,,,,,
石家庄,南昌,1145,,,,,,,,,,
石家庄,深圳,1773,,,,,,,,,,
天津,南昌,1370,,,,,,,,,,
天津,南通,1031,,,,,,,,,,
天津,深圳,2021,,,,,,,,,,
太原,合肥,808,,,,,,,,,,
太原,南昌,1090,,,,,,,,,,
太原,南京,974,,,,,,,,,,
太原,南通,1238,,,,,,,,,,
太原,沈阳,1171,,,,,,,,,,
太原,深圳,1796,,,,,,,,,,
太原,成都天府,1173,,,,,,,,,,
太原,武汉,866,,,,,,,,,,
太原,无锡,1183,,,,,,,,,,
太原,宜昌,840,,,,,,,,,,
台州,广州,1123,,,,,,,,,,
台州,深圳,1070,,,,,,,,,,
无锡,广州,1365,,,,,,,,,,
无锡,重庆,1375,,,,,,,,,,
无锡,海口,1939,,,,,,,,,,
