航线（国内）,Unnamed: 1,Unnamed: 2,Unnamed: 3,航线（国际）,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
始发地,目的地,里程数,,始发地,目的地,里程数,,,
,日照,948,,,,,,,
,青岛,961,,,,,,,
,石家庄,438,,,,,,,
,烟台,987,,,,,,,
石家庄,兰州,996,,,,,,,
,合肥,729,,,,,,,
,上海,1024,,,,,,,
西安,大连,1242,,,,,,,
,东营,962,,,,,,,
,济南,808,,,,,,,
,烟台,1154,,,,,,,
,青岛,1048,,,,,,,
,淮安,956,,,,,,,
,常州,1062,,,,,,,
,无锡,1136,,,,,,,
,合肥,811,,,,,,,
,上海,1228,,,,,,,
,南京,987,,,,,,,
,嘉兴,1189,,,,,,,
,杭州,1191,,,,,,,
,宁波,1299,,,,,,,
,台州,1365,,,,,,,
,义乌,1204,,,,,,,
,温州,1358,,,,,,,
,武汉,652,,,,,,,
,福州,1410,,,,,,,
,南昌,917,,,,,,,
,泉州,1431,,,,,,,
,厦门,1424,,,,,,,
,汕头,1424,,,,,,,
,长沙,813,,,,,,,
,香港,1439,,,,,,,
,深圳,1400,,,,,,,
,珠海,1453,,,,,,,
,广州,1305,,,,,,,
,张家界,615,,,,,,,
,海口,1621,,,,,,,
,三亚,1794,,,,,,,
,南宁,1316,,,,,,,
,河内,1497,,,,,,,
,重庆,562,,,,,,,
,昆明,1178,,,,,,,
,大理,1268,,,,,,,
,芒市,1489,,,,,,,
,城关区,1775,,,,,,,
,日喀则,1915,,,,,,,
,格尔木,1281,,,,,,,
,和田,2610,,,,,,,
,喀什,2942,,,,,,,
,阿克苏,2596,,,,,,,
,库车县,2391,,,,,,,
,伊宁,2572,,,,,,,
,库尔勒,2124,,,,,,,
,博乐,2527,,,,,,,
,塔城地区,2522,,,,,,,
,克拉玛依,2354,,,,,,,
,阿勒泰地区,2263,,,,,,,
,榆林,441,,,,,,,
郑州,兰州,950,,,,,,,
,昆明,1481,,,,,,,
,南昌,657,,,,,,,
,厦门,1183,,,,,,,
,温州,990,,,,,,,
,宁波,885,,,,,,,
,杭州,781,,,,,,,
,上海,790,,,,,,,
,烟台,729,,,,,,,
上海,威海,673,,,,,,,
,大连,869,,,,,,,
,烟台,727,,,,,,,
,青岛,600,,,,,,,
,济南,761,,,,,,,
,石家庄,1024,,,,,,,
,大同,1242,,,,,,,
,呼和浩特,1400,,,,,,,
,邯郸,906,,,,,,,
,太原,1114,,,,,,,
,鄂尔多斯,1423,,,,,,,
,银川,1614,,,,,,,
,延安,1283,,,,,,,
,济南市,761,,,,,,,
,南京,286,,,,,,,
,合肥,465,,,,,,,
,阜阳,604,,,,,,,
,郑州,832,,,,,,,
,运城,1094,,,,,,,
,信阳,745,,,,,,,
,西安,1271,,,,,,,
,安康,1225,,,,,,,
,兰州,1778,,,,,,,
,西宁,1915,,,,,,,
,嘉峪关,2324,,,,,,,
,敦煌,2622,,,,,,,
,喀什,4207,,,,,,,
,阿勒泰地区,3391,,,,,,,
,乌鲁木齐,3310,,,,,,,
,伊宁,3793,,,,,,,
,昭苏,3790,,,,,,,
,阿拉木图,4130,,,,,,,
,喀什干,4767,,,,,,,
,城关区,2963,,,,,,,
,达州,1366,,,,,,,
,南充,1490,,,,,,,
,成都,1659,,,,,,,
,武汉,724,,,,,,,
,荆州,898,,,,,,,
,宜昌,987,,,,,,,
,重庆,1460,,,,,,,
,泸州,1587,,,,,,,
,宜宾,1680,,,,,,,
,遵义,1540,,,,,,,
,昭通,1798,,,,,,,
,西昌,1925,,,,,,,
,攀枝花,2010,,,,,,,
,丽江,2152,,,,,,,
,大理,2182,,,,,,,
,芒市,2401,,,,,,,
,贵阳,1545,,,,,,,
,昆明,1963,,,,,,,
,临沧,2295,,,,,,,
,南昌,621,,,,,,,
,永州,1127,,,,,,,
,桂林,1326,,,,,,,
,柳州,1442,,,,,,,
,南宁,1648,,,,,,,
,河内,1934,,,,,,,
,北海,1638,,,,,,,
,吉安,835,,,,,,,
,赣州,903,,,,,,,
,广州,1202,,,,,,,
,瑞金,801,,,,,,,
,惠州,1146,,,,,,,
,深圳,1231,,,,,,,
,香港,1254,,,,,,,
,澳门,1289,,,,,,,
,珠海,1315,,,,,,,
,海口,1683,,,,,,,
,琼海,1753,,,,,,,
,三亚,1894,,,,,,,
,梅州,948,,,,,,,
,汕头,991,,,,,,,
,泉州,772,,,,,,,
,厦门,816,,,,,,,
,福州,615,,,,,,,
,温州,370,,,,,,,
,台北,676,,,,,,,
,杭州,166,,,,,,,
,义乌,262,,,,,,,
杭州,烟台,826,,,,,,,
,青岛,682,,,,,,,
,太原,1101,,,,,,,
,银川,1569,,,,,,,
,乌鲁木齐,3264,,,,,,,
,郑州,781,,,,,,,
,库尔勒,3307,,,,,,,
,兰州,1706,,,,,,,
,西安,1191,,,,,,,
,武汉,599,,,,,,,
,成都,1534,,,,,,,
,大理,2036,,,,,,,
,景洪,2161,,,,,,,
,昆明,1811,,,,,,,
,贵阳,1392,,,,,,,
,汕头,837,,,,,,,
,深圳,1069,,,,,,,
,广州,1036,,,,,,,
武汉,大连,1127,,,,,,,
,烟台,985,,,,,,,
,青岛,824,,,,,,,
,日照,698,,,,,,,
,淮安,570,,,,,,,
,上海,724,,,,,,,
,盐城,636,,,,,,,
,舟山,787,,,,,,,
,宁波,703,,,,,,,
,台州,739,,,,,,,
,义乌,581,,,,,,,
,温州,718,,,,,,,
,台北,935,,,,,,,
,福州,758,,,,,,,
,高雄,1069,,,,,,,
,泉州,792,,,,,,,
,厦门,793,,,,,,,
,汕头,834,,,,,,,
,惠州,859,,,,,,,
,澳门,941,,,,,,,
,深圳,906,,,,,,,
,广州,826,,,,,,,
,琼海,1347,,,,,,,
,海口,1262,,,,,,,
,湛江,1094,,,,,,,
,三亚,1468,,,,,,,
,北海,1138,,,,,,,
,柳州,871,,,,,,,
,河内,1352,,,,,,,
,万象,1844,,,,,,,
,昆明,1271,,,,,,,
,遵义,750,,,,,,,
,大理,1473,,,,,,,
,恩施,454,,,,,,,
,重庆,735,,,,,,,
,西安,652,,,,,,,
,兰州,1167,,,,,,,
,西宁,1292,,,,,,,
,乌鲁木齐,2757,,,,,,,
,运城,565,,,,,,,
,银川,1099,,,,,,,
,榆林,941,,,,,,,
,鄂尔多斯,1044,,,,,,,
,太原,787,,,,,,,
,大同,1032,,,,,,,
,东营,865,,,,,,,
,济南,729,,,,,,,
,秦皇岛,1080,,,,,,,
,唐山,1049,,,,,,,
,天津,969,,,,,,,
成都,天津,1529,,,,,,,
,烟台,1725,,,,,,,
,青岛,1596,,,,,,,
,济南,1386,,,,,,,
,宁波,1635,,,,,,,
,杭州,1534,,,,,,,
,上海,1614,,,,,,,
,无锡,1527,,,,,,,
,常州,1468,,,,,,,
,南京,1381,,,,,,,
,合肥,1207,,,,,,,
,十堰,661,,,,,,,
,南昌,1118,,,,,,,
,长沙,882,,,,,,,
,台中,1730,,,,,,,
,厦门,1492,,,,,,,
,惠州,1291,,,,,,,
,深圳,1262,,,,,,,
,珠海,1281,,,,,,,
,广州,1165,,,,,,,
,湛江,1157,,,,,,,
,海口,1302,,,,,,,
,三亚,1426,,,,,,,
,昆明,597,,,,,,,
,景洪,996,,,,,,,
,临沧,851,,,,,,,
,沧源,929,,,,,,,
,大理,657,,,,,,,
,保山,781,,,,,,,
,芒市,877,,,,,,,
,腾冲,837,,,,,,,
,迪庆藏族自治州,541,,,,,,,
,城关区,1308,,,,,,,
,玉树,755,,,,,,,
,伊宁,2533,,,,,,,
,阿勒泰地区,2387,,,,,,,
,兰州,692,,,,,,,
,西宁,724,,,,,,,
,银川,906,,,,,,,
,太原,1117,,,,,,,
,昆明,615,,,,,,,
,深圳,1316,,,,,,,
,广州,1221,,,,,,,
,上海,1703,,,,,,,
,杭州,1579,,,,,,,
重庆,太原,1048,,,,,,,
,青岛,1452,,,,,,,
,济南,1260,,,,,,,
,昆明,629,,,,,,,
,百色,666,,,,,,,
,上海,1460,,,,,,,
,宁波,1427,,,,,,,
,无锡,1333,,,,,,,
,常州,1276,,,,,,,
,南京,1188,,,,,,,
,合肥,1017,,,,,,,
长沙,烟台,1276,,,,,,,
,青岛,1112,,,,,,,
,宁波,821,,,,,,,
,南京,671,上海,286,,,,,
,无锡,785,,,,,,,
,常州,753,,,,,,,
,福州,684,,,,,,,
,汕头,610,,,,,,,
,昆明,1077,,,,,,,
,大理,1307,,,,,,,
,兰州,1289,,,,,,,
,太原,1062,,,,,,,
昆明,济南,1881,,,,,,,
