航线（国内）,Unnamed: 1,Unnamed: 2,航线（国际）,Unnamed: 5,Unnamed: 6
始发地,目的地,里程数,始发地,目的地,里程数
,青岛,600,,,
,呼和浩特,1400,,,
,阿勒泰地区,3391,,,
,喀什,4207,,,
,长沙,890,,,
,贵阳,1545,,,
,昆明,1963,,,
,台北,676,,,
,汕头,991,,,
,珠海,1315,,,
,深圳,1231,,,
,广州,1202,,,
,海口,1683,,,
,三亚,1894,,,
,南宁,1648,,,
杭州,长春,1598,,,
,哈尔滨,1783,,,
,沈阳,1297,,,
,大连,975,,,
,乌鲁木齐,3264,,,
,贵阳,1392,,,
,山头,837,,,
,珠海,1152,,,
,深圳,1069,,,
,广州,1036,,,
,海口,1519,,,
,三亚,1730,,,
,南宁,1484,,,
,贵阳,1392,,,
长沙,青岛,1112,,,
,大连,1421,,,
,沈阳,1759,,,
,长春,2076,,,
,哈尔滨,2250,,,
,大庆,2308,,,
,满洲里,2400,,,
,天津,1273,,,
,太原,1062,,,
,呼和浩特,1411,,,
,银川,1291,,,
,阿勒泰地区,3066,,,
,西宁,1397,,,
,乌鲁木齐,2878,,,
,大理,1307,,,
,三亚,1165,,,
,海口,959,,,
,南宁,800,,,
,百色,798,,,
,景洪,1429,,,
,昆明,1077,,,
,汕头,610,,,
,广州,533,,,
,温州,748,,,
,宁波,821,,,
,嘉兴,771,,,
广州,白山,2461,,,
,长春,2552,,,
,哈尔滨,2731,,,
,沈阳,2237,,,
,大连,1897,,,
,烟台,1746,,,
,日照,1455,,,
,淮安,1286,,,
,连云港,1350,,,
,安庆,880,,,
,南昌,660,,,
,合肥,1022,,,
,临沂,1386,,,
,徐州,1255,,,
,阜阳,1080,,,
,济宁,1402,,,
,济南,1542,,,
,菏泽,1334,,,
,天津,1790,,,
,安阳,1390,,,
,邢台,1503,,,
,石家庄,1659,,,
,海拉尔区,2924,,,
,太原,1596,,,
,荆州,772,,,
,襄阳,977,,,
,南阳,1067,,,
,洛阳,1263,,,
,呼和浩特,1944,,,
,临汾,1424,,,
,常德,636,,,
,宜昌,816,,,
,十堰,1048,,,
,延安,1500,,,
,张家界,695,,,
,神农架林区,961,,,
,巫山,924,,,
,安康,1118,,,
,银川,1783,,,
,万州区,953,,,
